KoordID,x,y,whinchat,ptarmigan,dipper,elev.birds,prec.birds,temp.birds,est.slope,forest.edge.sum,forest.sum,grassland.sum,water.dist,buildings.sum
647262,647000,262000,0,0,0,605.200012207031,421.003132584788,18.3789289545376,4.2807863446828,27.59125,59.238125,14.53515625,5000,31
653118,653000,118000,0,0,1,2103.60009765625,276.308898471233,10.4033696917837,22.6812086339728,10.55078125,26.0115625,49.426875,15000,3
653134,653000,134000,0,1,0,2322.19995117188,372.706193587548,9.79799375596056,21.4142348499624,5.7625,28.0296875,32.4371875,2828.42712474619,4
653182,653000,182000,0,0,1,1148.19995117188,371.250173036715,15.3320923729364,23.324580049091,24.68828125,54.188125,38.02234375,2236.06797749979,50
653198,653000,198000,0,0,0,1284.5,632.023516318794,,11.2807315861347,26.53453125,50.90203125,44.505625,8485.28137423857,4
653214,653000,214000,0,0,0,664.099975585938,527.54767692618,,2.99429728554955,8.0375,15.4940625,36.46296875,3605.55127546399,52
653230,653000,230000,0,0,0,725.099975585938,443.968163703692,,1.54665847143946,19.790625,16.88546875,23.73375,4472.13595499958,61
653246,653000,246000,0,0,0,427.399993896484,315.599085144373,,2.5689096545101,24.12765625,54.58921875,6.7665625,2000,68
653254,653000,254000,0,0,0,369.5,262.061787563194,19.5631074221231,3.44414431795642,9.4428125,14.87171875,12.50078125,1000,116
653262,653000,262000,0,0,0,499.200012207031,330.422419545125,18.7266110079219,1.49266495650144,20.24265625,45.42265625,21.471875,4242.64068711928,43
659142,659000,142000,0,0,0,1856.90002441406,331.88510892579,12.2806832458594,23.0585832869106,23.475,73.79484375,14.18203125,1000,13
659174,659000,174000,0,0,0,823.200012207031,401.800857395911,17.5784248341868,16.8389860248161,46.3546875,65.879375,23.0678125,0,57
659190,659000,190000,0,0,0,469,358.719187611274,19.6259846840574,2.68818818634567,0.04484375,0.069375,23.58703125,0,54
659206,659000,206000,0,0,1,989.400024414062,662.350727200814,16.0980820930655,2.74415970201814,26.64921875,44.3078125,42.70515625,4000,13
659222,659000,222000,0,0,0,674.599975585938,503.941805439133,18.0492605847433,3.12427763445648,4.52421875,4.9996875,20.5165625,3605.55127546399,60
659238,659000,238000,0,0,1,490.899993896484,330.575278796062,19.0543106664289,2.72516622299243,2.99203125,7.34984375,12.06375,1000,106
659254,659000,254000,0,0,0,398.200012207031,291.521701568955,19.4322227636729,0.401033547168201,7.00296875,7.7,0.71328125,2000,48
659270,659000,270000,0,0,0,317.799987792969,244.194197650615,19.8,0.519235807603708,6.19859375,8.3040625,4.1584375,0,93
665150,665000,150000,1,0,0,1368.59997558594,229.463316505751,14.3575301406914,12.2383563307977,20.12890625,26.974375,58.135625,0,31
665166,665000,166000,0,0,1,1294.30004882812,349.887622042138,14.6270945545516,19.6930009544605,21.9653125,72.2684375,14.22671875,0,9
665182,665000,182000,0,1,0,1834.19995117188,638.089439912769,11.9442211687728,21.1630175529714,5.74109375,18.73609375,50.07265625,2828.42712474619,5
665198,665000,198000,0,0,0,572.299987792969,490.005182100327,18.7376118879218,1.71437869281088,28.57984375,56.72765625,29.2234375,1000,19
665214,665000,214000,0,0,1,428.299987792969,413.320417450857,19.6831585939669,0.521531301659953,3.55875,9.39890625,13.52140625,0,151
665230,665000,230000,0,0,0,781.700012207031,545.858168856372,17.2929086621176,4.19779161259041,11.28984375,39.6884375,8.91890625,3605.55127546399,17
665246,665000,246000,0,0,0,414,293.169568048264,19.470373868555,2.7760302497921,22.870625,40.939375,6.3609375,1000,62
665262,665000,262000,0,0,0,545,372.560088777452,18.2202177054872,3.11275068849284,5.9315625,83.20359375,3.4415625,3000,25
671158,671000,158000,1,0,1,2067.69995117188,358.002210828792,10.2802278184808,17.8042671268165,0,13.1621875,54.638125,1000,4
671174,671000,174000,0,1,0,2561.10009765625,628.330274444466,7.98832676929389,19.6853959712247,0.22421875,0.88265625,2.84796875,6082.76253029822,0
671190,671000,190000,0,0,0,768.299987792969,427.103561433077,17.6354001408608,15.3437867661794,26.35359375,59.66515625,34.23890625,0,7
671206,671000,206000,0,0,0,434,585.851628518476,19.6187649319531,10.3491037047898,10.23140625,10.2025,7.4834375,0,23
671222,671000,222000,0,0,0,516.299987792969,432.472655030838,19.1121103078824,2.59643845516759,17.82671875,23.014375,21.9871875,2000,41
671238,671000,238000,0,0,0,383.600006103516,318.185652521611,19.7,0.880773184714839,0.49328125,9.53234375,5.34640625,0,79
671254,671000,254000,0,0,0,510.299987792969,356.38834170211,18.7183064690126,1.98429007375307,29.82421875,64.9490625,12.5178125,1000,90
677126,677000,126000,0,0,0,1888.09997558594,421.597251035125,,19.1492437221191,16.5271875,46.57328125,15.0721875,12649.1106406735,2
677166,677000,166000,0,1,0,2359.10009765625,381.344669649353,8.06793079462503,19.6222299049719,0,0.78046875,16.7871875,2000,2
677182,677000,182000,0,0,0,1418.09997558594,489.816464934329,13.5106559682204,26.8563901803004,8.48890625,33.79265625,28.2184375,1000,1
677198,677000,198000,0,0,1,1284.30004882812,758.321451429561,14.1077125997567,8.45846984948028,17.8646875,61.6803125,31.18625,4472.13595499958,7
677214,677000,214000,0,0,0,700.099975585938,711.604460490374,17.9126684898931,11.3887638869332,10.16109375,35.2884375,55.2409375,2000,49
677230,677000,230000,0,0,0,438.200012207031,428.479797239797,19.3999195848259,1.2715583311852,11.25828125,12.0628125,21.74234375,2236.06797749979,38
677246,677000,246000,0,0,0,606.799987792969,475.79155012326,,2.53181470951648,14.058125,46.72109375,3.968125,4000,129
677262,677000,262000,0,0,0,485.399993896484,275.11647622718,,2.67225859568963,1.1528125,1.1440625,10.13546875,2236.06797749979,87
677278,677000,278000,0,0,0,498.899993896484,344.29916911538,18.7175399871422,4.03899097847157,13.23671875,51.91515625,5.31125,8062.25774829855,26
683126,683000,126000,0,0,1,988,390.983182477027,16.5331545082175,11.2645240455069,30.57859375,87.47421875,3.23953125,7211.10255092798,29
683134,683000,134000,0,0,0,1092.80004882812,395.672851278384,14.8478794977796,13.9105566419911,23.3503125,54.45546875,13.48921875,6324.55532033676,3
683142,683000,142000,0,0,0,1730.09997558594,402.204647191875,12.5055256830412,18.980419420303,8.47484375,30.3721875,33.62234375,3605.55127546399,2
683150,683000,150000,0,0,0,1870.30004882812,416.224951204892,12.0201090433689,20.4929590997516,10.97359375,52.8875,26.50828125,1000,14
683158,683000,158000,0,1,0,2443.89990234375,532.915061240297,7.98042393646581,3.43820813654032,0,0,50.75125,1414.2135623731,0
683174,683000,174000,0,0,0,2259.19995117188,439.348631843131,9.55259531470818,25.2150061272378,0,6.7265625,30.52515625,5385.1648071345,1
683190,683000,190000,0,1,0,2782.80004882812,815.630683278341,7.07554578955883,11.3975100660337,0,0,12.096875,3000,1
683206,683000,206000,0,0,1,795.200012207031,641.837129599326,17.3216243734493,13.8750128453547,39.6153125,56.8109375,34.9,2000,31
683222,683000,222000,0,0,0,958,680.820346619229,,3.44207329204788,20.4359375,46.7215625,46.3159375,2000,23
683238,683000,238000,0,0,1,464,365.339810070709,18.9375596224904,1.28079946146408,20.4828125,20.47953125,15.25421875,0,194
683254,683000,254000,0,0,0,438.299987792969,323.93883736561,19.1966714972754,1.02976466673116,15.40375,23.756875,10.46,1000,147
683270,683000,270000,0,0,0,490.200012207031,352.566619305076,18.8621672087091,1.25222373091565,14.778125,22.22890625,18.8890625,1000,43
683286,683000,286000,0,0,0,672.099975585938,356.613748370693,17.1045717624865,5.07151858940129,5.45203125,93.14546875,3.470625,6403.12423743285,1
689126,689000,126000,0,0,0,1789.19995117188,596.456909213221,13.179934511023,10.8503174414288,21.52,88.01625,6.3446875,2236.06797749979,12
689134,689000,134000,0,0,0,1311.5,395.95463626631,16.1946480793547,28.7280399873492,30.97734375,71.81390625,14.58296875,1000,22
689142,689000,142000,0,0,0,1447.69995117188,379.653736376824,14.0789602356136,18.6548149427845,13.1303125,40.94078125,26.94640625,0,8
689150,689000,150000,0,1,0,2494.60009765625,508.151158281674,,7.13018906757376,0,0.7696875,56.04515625,2828.42712474619,0
689158,689000,158000,0,1,0,2663.60009765625,545.463130236554,7.27071640637239,8.69503759602684,0,0,38.971875,5000,0
689166,689000,166000,1,0,0,1837.90002441406,440.25377009889,11.5922884411192,18.1878119550119,0,13.7475,65.63515625,1000,24
689182,689000,182000,0,0,0,1944,492.048325679768,10.3286573296333,7.8430405211553,0,2.87265625,63.4959375,4000,1
689198,689000,198000,0,0,0,518.299987792969,495.098501143123,19.0649962149728,16.6162410452959,13.79921875,42.81046875,12.384375,1000,5
689214,689000,214000,0,0,1,834.599975585938,486.951997857491,17.1828652744328,7.45581965114149,3.3190625,13.0109375,74.84796875,4123.10562561766,41
689230,689000,230000,0,0,0,654.599975585938,515.41134843642,18.0780647541113,2.87240740072767,15.51453125,21.396875,47.383125,2000,51
689246,689000,246000,0,0,0,611.099975585938,454.904323899242,18.2188170928512,3.76952159754064,15.19578125,37.38265625,6.493125,2000,132
689262,689000,262000,0,0,0,576.599975585938,395.381252373703,,3.96339260265412,18.27921875,82.92046875,5.28546875,1000,52
689278,689000,278000,0,0,0,359.100006103516,272.295923051697,19.2917834817213,1.21990132158802,16.871875,16.25703125,3.056875,0,25
695110,695000,110000,0,0,0,1513.59997558594,792.197301720423,15.0766500766748,6.58136352455556,23.190625,67.7615625,14.89078125,4000,11
695118,695000,118000,0,0,0,840.599975585938,475.795756064057,18.1179582275543,15.8740297732059,34.334375,89.49328125,8.60875,3605.55127546399,42
695126,695000,126000,0,0,0,696.200012207031,428.591521884677,19.0854752965427,16.4128994764825,12.92078125,78.30328125,6.75078125,0,39
695142,695000,142000,0,0,0,1796.69995117188,606.520498517742,11.8470072483692,22.0939994380432,14.80609375,51.043125,23.40921875,3605.55127546399,7
695150,695000,150000,0,0,0,1703.30004882812,463.354265551282,12.7775929278414,23.7827917229647,13.7,78.52359375,14.24265625,2000,24
